id,title,category,association,summary,description,date_start,date_end,image_url,gallery,model_url,featured,links
ray-robotics,RAY Robotics,leadership|robotics|tech,RAY,"Co-founding an autonomous last-mile delivery robot as my Berkeley MEng capstone — leading a team of 10.","RAY is my UC Berkeley MEng capstone: an autonomous last-mile delivery system built by a team of 10. I run our rapid-prototyping cycles and design reviews, hold us to a bar of engineering excellence, and lead funding and customer-discovery efforts alongside the build.",2025-09,,/assets/projects/placeholder-2.svg,,,true,
nova-community,NOVA Robotics & AI Community,leadership|community,NOVA,"First non-founder member of NOVA, building a robotics & AI community across academia, industry, and policy.","NOVA — the Network for Open Vision & Advancement in robotics & AI — is a community I help run as its first non-founder member. I coordinate conferences, roundtables, and outreach, connecting academics, professionals, and policy figures across UC Berkeley and MIT to talk about where robotics and AI are headed.",2025-12,,/assets/projects/placeholder-3.svg,,,true,
neptune-2009,Neptune — Underwater Comms,robotics|tech,MIT,"Led final integration of Neptune, a wireless underwater comms system for scuba divers, across an 18-person team.","For MIT's 2.009 product engineering course I helped build Neptune, a wireless underwater communication system for divers. I worked on mechanical design, waterproofing, and PCB design, drove customer discovery, presented at the mid-semester Architecture Review, and led final integration of the 18-person team.",2024-09,2024-12,/assets/projects/placeholder-1.svg,,,true,
morphing-gripper,Pneumatic Soft Gripper,robotics,UC Berkeley,"Designed and built a pneumatic soft gripper from scratch — custom inflatable actuators, 3D-printed parts, and a force-sensing control loop.","In Berkeley's ME 292C (Design with Morphing Materials & Mechanisms) I built a pneumatic robotic gripper end to end: custom inflatable actuators cast from EcoFlex and silicone, 3D-printed structure, and a control system driven by force-sensitive resistors. I owned the system architecture and iterated the materials to get a reliable grip.",2025-08,2025-12,/assets/projects/placeholder-4.svg,,,false,
sit-to-stand,Wearable Sit-to-Stand Device,robotics,UC Berkeley,"Built a wearable sit-to-stand assistive device with Micropython/C++ control.","For Berkeley's ME 239 (Robotic Locomotion) I designed a wearable sit-to-stand assistive device and wrote its control code in Micropython and C++. I shaped the system architecture, built the protoboard and sensing, and led final integration to a working demo.",2025-08,2025-12,/assets/projects/placeholder-5.svg,,,false,
trd-intern,Toyota Racing Development,tech|robotics,TRD,"Vehicle systems intern: thermal modeling, custom motor-control PCBs, and a precision encoder-wheel test rig for GR Corolla race cars.","As a vehicle systems engineering intern at Toyota Racing Development I wrote thermal-modeling code, designed custom PCBs for motor control and power management, and built a benchtop encoder-wheel test rig to 1mm tolerance — production-level work preparing GR Corolla race cars.",2024-05,2024-08,/assets/projects/placeholder-1.svg,,,true,
bio-inspired-swing,Bio-Inspired Swinging Robot,robotics,MIT,"Built and optimized an underactuated swinging robot, benchmarked against human motion.","In MIT's 2.74 (Bio-Inspired Robotics) I built an underactuated swinging robot and optimized it for swing height and joint efficiency, comparing its motion to human mechanics. I made the final poster and presented the work live.",2024-09,2024-12,/assets/projects/placeholder-6.svg,,,false,
feedback-control,Feedback Control Systems,robotics|tech,MIT,"Characterized dynamic systems and implemented digital controllers — root locus, Bode, Nyquist, and quantization effects.","MIT's 2.14 (Analysis & Design of Feedback Control Systems): I characterized a range of systems and wrote up the analysis, hand-sketching then measuring and simulating root locus, Bode, and Nyquist plots, and investigating quantization effects in digital controller implementations.",2025-02,2025-05,/assets/projects/placeholder-2.svg,,,false,
meche-lab-assistant,MechE Lab Assistant,community|robotics,MIT,"Lab assistant for MIT's intro robotics and dynamics & controls courses — maintained the robots, ran sections, and graded.","For two years I was a lab assistant for MIT MechE's 2.12 (Intro to Robotics) and 2.004 (Dynamics & Control II). I maintained the teaching hardware — MagLev rigs, mobile robots, and self-balancing 'Segway' robots — helped shape project parameters, ran lab sections, and graded.",2023-09,2025-05,/assets/projects/placeholder-3.svg,,,false,
archerfish-paper,Archerfish Lab Automation,tech,MIT,"Co-author: retrofitted a 3D printer into a high-throughput lab-automation platform for solar-materials discovery.","At MIT's Accelerated Materials Lab for Sustainability I built hardware and software to automate lab testing, turning a 3D printer into a continuous, hands-off experimentation platform for perovskite solar-cell precursor discovery. The work became the paper 'Archerfish: a retrofitted 3D printer for high-throughput combinatorial experimentation via continuous printing.'",2022-06,2024-01,/assets/projects/placeholder-4.svg,,,false,
deep-tech-commercialization,Deep Tech Commercialization,leadership|tech,UC Berkeley,"Built a commercialization strategy for a Berkeley Lab breakthrough — market research, customer discovery, and an investor pitch.","In Berkeley's ENGIN 274 (Deep Tech Commercialization Strategies) my interdisciplinary team took a Berkeley Lab research breakthrough and tested whether it could reach market. I ran market research and customer discovery and presented our findings to investors and policy makers.",2025-08,2025-12,/assets/projects/placeholder-5.svg,,,false,
refresh-foodwaste,reFresh — Food Waste Platform,leadership|community|tech,UC Berkeley,"48-hour sprint: a restaurant-to-nonprofit food-waste platform, from market research to a working mockup.","At Berkeley Haas' MBA 292ID Impact Startup sprint I helped create reFresh, a restaurant-to-nonprofit food-waste reduction platform, in 48 hours — running market research and building the technology-platform mockup and pitch.",2025-10,2025-10,/assets/projects/placeholder-6.svg,,,false,
robotics-affinity-lead,Robotics Affinity Group Lead,leadership|community,UC Berkeley,"Selected to lead events and career outreach for Berkeley's incoming robotics MEng cohort.","I was selected to lead the UC Berkeley robotics affinity group, coordinating events and career outreach for the incoming MEng cohort — industry visits, professional speakers, and mixers — and collaborating with NOVA on robotics discussions.",2025-07,,/assets/projects/placeholder-1.svg,,,false,
